,time,substance,repeat,temperature
0,0.0,soy_wax,1,98.8
1,1.0,soy_wax,1,96.9
2,2.0,soy_wax,1,92.1
3,3.0,soy_wax,1,87.9
4,4.0,soy_wax,1,85.2
5,5.0,soy_wax,1,81.7
6,6.0,soy_wax,1,79.4
7,7.0,soy_wax,1,76.2
8,8.0,soy_wax,1,73.3
9,9.0,soy_wax,1,71.4
10,10.0,soy_wax,1,68.7
11,11.0,soy_wax,1,67.1
12,12.0,soy_wax,1,64.7
13,13.0,soy_wax,1,63.0
14,14.0,soy_wax,1,60.9
15,15.0,soy_wax,1,59.0
16,16.0,soy_wax,1,57.7
17,17.0,soy_wax,1,56.1
18,18.0,soy_wax,1,55.1
19,19.0,soy_wax,1,53.6
20,20.0,soy_wax,1,52.2
21,21.0,soy_wax,1,51.4
22,22.0,soy_wax,1,50.1
23,23.0,soy_wax,1,49.2
24,24.0,soy_wax,1,48.1
25,25.0,soy_wax,1,47.0
26,26.0,soy_wax,1,46.3
27,27.0,soy_wax,1,45.3
28,28.0,soy_wax,1,44.7
29,29.0,soy_wax,1,43.8
30,30.0,soy_wax,1,42.9
31,31.0,soy_wax,1,42.4
32,32.0,soy_wax,1,41.6
33,33.0,soy_wax,1,41.1
34,34.0,soy_wax,1,40.5
35,35.0,soy_wax,1,39.9
36,36.0,soy_wax,1,39.4
37,37.0,soy_wax,1,38.9
38,38.0,soy_wax,1,38.5
39,39.0,soy_wax,1,37.9
40,40.0,soy_wax,1,37.5
41,41.0,soy_wax,1,37.2
42,42.0,soy_wax,1,37.0
43,43.0,soy_wax,1,36.9
44,44.0,soy_wax,1,36.9
45,45.0,soy_wax,1,36.9
46,46.0,soy_wax,1,36.8
47,47.0,soy_wax,1,36.7
48,48.0,soy_wax,1,36.7
49,49.0,soy_wax,1,36.7
50,50.0,soy_wax,1,36.7
51,51.0,soy_wax,1,36.8
52,52.0,soy_wax,1,37.0
53,53.0,soy_wax,1,37.1
54,54.0,soy_wax,1,37.3
55,55.0,soy_wax,1,37.5
56,56.0,soy_wax,1,37.7
57,57.0,soy_wax,1,37.9
58,58.0,soy_wax,1,38.0
59,59.0,soy_wax,1,38.1
60,60.0,soy_wax,1,38.1
61,61.0,soy_wax,1,38.0
62,62.0,soy_wax,1,37.9
63,63.0,soy_wax,1,37.7
64,64.0,soy_wax,1,37.6
65,65.0,soy_wax,1,37.5
66,66.0,soy_wax,1,37.3
67,67.0,soy_wax,1,37.1
68,68.0,soy_wax,1,36.9
69,69.0,soy_wax,1,36.7
70,70.0,soy_wax,1,36.6
71,71.0,soy_wax,1,36.4
72,72.0,soy_wax,1,36.2
73,73.0,soy_wax,1,36.1
74,74.0,soy_wax,1,35.8
75,75.0,soy_wax,1,35.7
76,76.0,soy_wax,1,35.4
77,77.0,soy_wax,1,35.2
78,78.0,soy_wax,1,35.1
79,79.0,soy_wax,1,34.9
80,80.0,soy_wax,1,34.7
81,81.0,soy_wax,1,34.6
82,82.0,soy_wax,1,34.3
83,83.0,soy_wax,1,34.2
84,84.0,soy_wax,1,34.0
85,85.0,soy_wax,1,33.9
86,86.0,soy_wax,1,33.7
87,87.0,soy_wax,1,33.6
88,88.0,soy_wax,1,33.4
89,89.0,soy_wax,1,33.3
90,90.0,soy_wax,1,33.2
91,91.0,soy_wax,1,33.1
92,92.0,soy_wax,1,32.9
93,93.0,soy_wax,1,32.8
94,94.0,soy_wax,1,32.6
95,95.0,soy_wax,1,32.5
96,96.0,soy_wax,1,32.4
97,97.0,soy_wax,1,32.3
98,98.0,soy_wax,1,32.2
99,99.0,soy_wax,1,32.1
100,100.0,soy_wax,1,31.9
101,101.0,soy_wax,1,31.9
102,102.0,soy_wax,1,31.8
103,103.0,soy_wax,1,31.7
104,104.0,soy_wax,1,31.6
105,105.0,soy_wax,1,31.5
106,106.0,soy_wax,1,31.4
107,107.0,soy_wax,1,31.3
108,108.0,soy_wax,1,31.2
109,109.0,soy_wax,1,31.1
110,110.0,soy_wax,1,31.1
111,111.0,soy_wax,1,31.0
112,112.0,soy_wax,1,30.9
113,113.0,soy_wax,1,30.8
114,114.0,soy_wax,1,30.7
115,115.0,soy_wax,1,30.6
116,116.0,soy_wax,1,30.6
117,117.0,soy_wax,1,30.5
118,118.0,soy_wax,1,30.4
119,119.0,soy_wax,1,30.3
120,120.0,soy_wax,1,30.3
121,121.0,soy_wax,1,30.2
122,122.0,soy_wax,1,30.1
123,123.0,soy_wax,1,30.1
124,124.0,soy_wax,1,30.0
125,125.0,soy_wax,1,29.9
126,126.0,soy_wax,1,29.9
127,127.0,soy_wax,1,29.8
128,128.0,soy_wax,1,29.8
129,129.0,soy_wax,1,29.7
130,130.0,soy_wax,1,29.6
131,131.0,soy_wax,1,29.6
132,132.0,soy_wax,1,29.5
133,133.0,soy_wax,1,29.4
134,134.0,soy_wax,1,29.4
135,135.0,soy_wax,1,29.4
136,136.0,soy_wax,1,29.3
137,137.0,soy_wax,1,29.2
138,138.0,soy_wax,1,29.2
139,139.0,soy_wax,1,29.1
140,140.0,soy_wax,1,29.1
141,141.0,soy_wax,1,29.0
142,142.0,soy_wax,1,28.9
143,143.0,soy_wax,1,28.9
144,144.0,soy_wax,1,28.9
145,145.0,soy_wax,1,28.8
146,146.0,soy_wax,1,28.7
147,147.0,soy_wax,1,28.7
148,148.0,soy_wax,1,28.7
149,149.0,soy_wax,1,28.6
150,150.0,soy_wax,1,28.6
151,151.0,soy_wax,1,28.6
152,152.0,soy_wax,1,28.5
153,153.0,soy_wax,1,28.4
154,154.0,soy_wax,1,28.4
155,155.0,soy_wax,1,28.4
156,156.0,soy_wax,1,28.3
157,157.0,soy_wax,1,28.3
158,158.0,soy_wax,1,28.3
159,159.0,soy_wax,1,28.2
160,160.0,soy_wax,1,28.1
161,161.0,soy_wax,1,28.1
162,162.0,soy_wax,1,28.1
163,163.0,soy_wax,1,28.0
164,164.0,soy_wax,1,28.0
165,165.0,soy_wax,1,27.9
166,166.0,soy_wax,1,27.9
167,167.0,soy_wax,1,27.9
168,168.0,soy_wax,1,27.8
169,169.0,soy_wax,1,27.8
170,170.0,soy_wax,1,27.8
171,171.0,soy_wax,1,27.8
172,172.0,soy_wax,1,27.7
173,173.0,soy_wax,1,27.7
174,174.0,soy_wax,1,27.6
175,175.0,soy_wax,1,27.6
176,176.0,soy_wax,1,27.6
177,177.0,soy_wax,1,27.5
178,178.0,soy_wax,1,27.5
179,179.0,soy_wax,1,27.4
180,180.0,soy_wax,1,27.4
